frame_num, time in sec, dominant OF mag, dominant OF ang, pan, tilt, zoom
5, 0.208541875209, 2.8843164444, 109.824455816, False, False, False
10, 0.417083750417, nan, nan, False, False, False
15, 0.625625625626, nan, 208.684258693, False, False, False
20, 0.834167500834, nan, nan, False, False, False
25, 1.04270937604, nan, 262.247435447, False, False, False
30, 1.25125125125, nan, 203.476826847, False, False, False
35, 1.45979312646, nan, 235.052381568, False, False, False
40, 1.66833500167, nan, nan, False, False, False
45, 1.87687687688, nan, nan, False, False, False
50, 2.08541875209, nan, nan, False, False, False
55, 2.29396062729, nan, nan, False, False, False
60, 2.5025025025, nan, 130.931693785, False, False, False
65, 2.71104437771, nan, nan, False, False, False
70, 2.91958625292, nan, nan, False, False, False
75, 3.12812812813, nan, nan, False, False, False
80, 3.33667000334, nan, 198.650000462, False, False, False
85, 3.54521187855, nan, nan, False, False, False
90, 3.75375375375, 5.51636266708, nan, False, False, False
95, 3.96229562896, 6.74465370178, nan, False, False, False
100, 4.17083750417, nan, nan, False, False, False
105, 4.37937937938, nan, 215.488657068, False, False, False
110, 4.58792125459, nan, nan, False, False, False
115, 4.7964631298, nan, nan, False, False, False
120, 5.00500500501, nan, nan, False, False, False
125, 5.21354688021, nan, 169.330867035, False, False, False
130, 5.42208875542, 6.0861620903, nan, False, False, False
135, 5.63063063063, 7.26575565338, nan, False, False, False
140, 5.83917250584, 9.25804233551, 165.773035157, True, False, False
145, 6.04771438105, 4.24865055084, 263.314392958, True, False, False
150, 6.25625625626, 2.98990869522, 287.041650512, True, False, False
155, 6.46479813146, 2.85646271706, 214.356580534, True, False, False
160, 6.67334000667, 5.34948778152, 276.901742915, True, False, False
165, 6.88188188188, 3.82130432129, 86.8883459035, False, True, False
170, 7.09042375709, 3.30852103233, 100.203273766, False, True, False
175, 7.2989656323, nan, 176.594185821, True, False, False
180, 7.50750750751, 1.4597247839, 139.453420284, False, False, False
185, 7.71604938272, nan, 86.8176124645, False, False, False
190, 7.92459125792, nan, 299.549256844, False, False, False
195, 8.13313313313, nan, 262.530860977, False, False, False
200, 8.34167500834, nan, 261.136218311, False, False, False
205, 8.55021688355, nan, 256.330224003, False, False, False
210, 8.75875875876, nan, nan, False, False, False
215, 8.96730063397, nan, 90.8921686441, False, False, False
220, 9.17584250918, nan, 60.7666152719, False, False, False
225, 9.38438438438, nan, 278.745975953, False, False, False
230, 9.59292625959, nan, 213.340671857, False, False, False
235, 9.8014681348, nan, 88.9158329171, False, False, False
240, 10.01001001, nan, nan, False, False, False
245, 10.2185518852, nan, 207.74540821, False, False, False
250, 10.4270937604, nan, 261.580590418, False, False, False
255, 10.6356356356, nan, 235.663792782, False, False, False
260, 10.8441775108, nan, nan, False, False, False
265, 11.0527193861, nan, 123.543778688, False, False, False
270, 11.2612612613, nan, 101.194088328, False, False, False
275, 11.4698031365, nan, 223.316928121, False, False, False
280, 11.6783450117, nan, 70.5085140851, False, False, False
285, 11.8868868869, nan, nan, False, False, False
290, 12.0954287621, nan, 143.669095002, False, False, False
295, 12.3039706373, nan, 175.7239924, False, False, False
300, 12.5125125125, nan, 276.511575189, False, False, False
305, 12.7210543877, nan, nan, False, False, False
310, 12.9295962629, nan, nan, False, False, False
315, 13.1381381381, nan, 268.59320028, False, False, False
320, 13.3466800133, nan, 241.387819156, False, False, False
325, 13.5552218886, nan, nan, False, False, False
330, 13.7637637638, nan, nan, False, False, False
335, 13.972305639, nan, nan, False, False, False
340, 14.1808475142, nan, nan, False, False, False
345, 14.3893893894, nan, nan, False, False, False
350, 14.5979312646, nan, nan, False, False, False
355, 14.8064731398, nan, nan, False, False, False
360, 15.015015015, nan, nan, False, False, False
365, 15.2235568902, nan, nan, False, False, False
370, 15.4320987654, nan, nan, False, False, False
